"","V1","V2"
"NMB113",1.16109803783018e-18,1
"NMB138",1.0877636936544e-13,0.999999999999891
"NMB143",3.09557747869408e-15,0.999999999999997
"NMB200",0.967381489162293,0.0326185108377073
"NMB254",0.996969946764542,0.00303005323545831
"NMB272",0.959766376172034,0.0402336238279657
"NMB32",0.990267803564456,0.0097321964355441
"NMB324",0.989290957761779,0.0107090422382207
"NMB328",0.998760011449713,0.00123998855028678
"NMB363",0.996587882457054,0.00341211754294591
"NMB364",2.4954431074821e-10,0.999999999750456
"NMB371",6.41346998053384e-11,0.999999999935865
"NMB379",1.61310434336764e-10,0.999999999838689
"NMB439",4.37083208593634e-14,0.999999999999956
"NMB465",0.981909514744049,0.018090485255951
"NMB466",2.46365670323429e-06,0.999997536343297
"NMB471",0.99834116573026,0.00165883426973995
"NMB474",4.64733676464796e-27,1
"NMB477",8.66745968462391e-14,0.999999999999913
"NMB479",3.83744461738232e-10,0.999999999616256
"NMB482",5.89067124665091e-13,0.999999999999411
"NMB483",0.99941086189512,0.000589138104879958
"NMB485",9.23220487477451e-17,1
"NMB486",6.87870740828924e-12,0.999999999993121
"NMB495",1.43342111942978e-14,0.999999999999986
"NMB496",1.80882169828308e-08,0.999999981911783
"NMB497",0.99059943406855,0.0094005659314505
"NMB498",4.0929425657835e-08,0.999999959070574
"NMB553",0.999366078465661,0.000633921534339494
"NMB554",2.02554689931494e-16,1
"NMB580",2.01689960316022e-09,0.9999999979831
"NMB594",0.982174910790027,0.0178250892099735
"NMB608",0.992092112254263,0.00790788774573741
"NMB612",1.26512480435591e-22,1
"NMB621",0.99408979179871,0.00591020820129036
"NMB64",0.982642246813886,0.0173577531861139
"NMB651",3.31407377684496e-05,0.999966859262232
"NMB667",1.8321927501655e-18,1
"NMB670",0.000390235583816197,0.999609764416184
"NMB673",4.96616303878214e-15,0.999999999999995
"NMB674",3.41678656494435e-09,0.999999996583213
"NMB675",3.17321582642381e-11,0.999999999968268
"NMB676",0.99924198856278,0.00075801143722044
"NMB690",2.03625792284755e-11,0.999999999979637
"NMB712",0.978644317406152,0.0213556825938479
"NMB720",1.6431404258045e-07,0.999999835685957
"NMB726",2.63378714832739e-32,1
"NMB79",4.06369700839815e-10,0.99999999959363
"NMB798",2.33299949748816e-08,0.999999976670005
"NMB803",6.12717301036646e-12,0.999999999993873
"NMB873",1.11094093912206e-12,0.999999999998889
